Section/Column,Name,Notes
Customer Service / Interactions,Web Login (inc. Issues/Troubleshooting),"Includes updating a email/Login and Troubleshooting below.

Update Email Address and Web Login 

    Find the correct Constituent account
    Go to Email in constituent menu
    Select Add New Email on top right
        Email Type: Email Address (most common)
        Toggle Primary
        Email Address: enter new email
    Save & Close
    Go to Logins in constituent menu
    Select Add new Login in top right
        Login Type: Default TR_LOGIN_TYPE
         Toggle Primary
        Username: Enter new email address
        Associated Email address: select matching email from dropdown
    Save & Close
    Go to Email in constituent menu
    Edit existing old email address
    Toggle Primary off
    Select Inactive in top right
    Check selected purposes associated with that email
    Save & Close
    Add appropriate purposes to new email address

----------------------------------------

Issues Updating Customer Login

If a customer has a duplicate account and they both link to the same email/login this can prevent you from adding that email to a new login.
    Inactive any previous logins linked to that email as per above
    Add New Login as per above
    If stuck ask a TL!

Resetting Password

    Go to Logins in constituent menu
    Edit Primary Login
    Select ""Send Email Token"" button
        This pushes a ""Forgot Password"" email to that email address and allows customer to establish a new password
        Link is valid for 15 mins

"
Procedures,Geelong Subscriber Forms,https://melbourneso.sharepoint.com/:f:/s/MarketingSales2/Ehvr6q_NG4xKtmvu7jMaQfQB8Hm2IMrWSvd2LeGQC5Y2vQ?e=X0NPpw
Procedures,Merch Orders,"Processing In Person Merch Orders
*Please note merch orders often automatically add a $10 postage fee to the order. Please make sure this fee is removed for in person purchases.

When a customer wishes to purchase merch in person, we can add the merch to the order via the Product Catalogue or QuickSale sections. 

When adding via Product Catalogue, you can select the merch as you would a performance. Merch can be found at the end of the year, as seen here:

https://app.asana.com/app/asana/-/get_asset?asset_id=1207364180642934


The easier way to do this is via QuickSale, which is to the right of the Product Catalogue and Seat Map when you're in an order. You can then select either the Merchandise > Jams for Juniors, or just Merchandise, depending on what you need to find: 

https://app.asana.com/app/asana/-/get_asset?asset_id=1207364180642936

You can then select the kind of merchandise the customer would like to buy. For example, here I'll select a Picnic Rug. At the bottom left you can select the price type needed (full price, subscriber discount, etc). To the bottom right you can then chose to either add to cart (if you're adding more than one item) or add to cart and pay. I've highlighter the options here:

https://app.asana.com/app/asana/-/get_asset?asset_id=1207364180642938

QuickSale often adds the postage fee to merch items, so at this point it's good to check the order total on the right and override the fee if need be. You can then select the appropriate payment method!


https://app.asana.com/app/asana/-/get_asset?asset_id=1207364180642940




"
Procedures,Return to Sender,"Occasionally posted mail is returned to us, in which case we need to be in touch with the customer to confirm their postal address. 

When processing RTS mail, we need to: 
    Call the customer and ask if they would like to confirm or provide a new email address. 
    If so, we'll update their address in Tessi by clicking addresses > adding details of new address > toggling 'primary' when adding the address > clicking save and close in the bottom right. 
    We'll then make the old address inactive by click on the original address > clicking 'inactive' in the top right, clicking 'save and close' in the bottom right.

If we can't get in touch via phone, or the customer doesn't wish to provide a new postal address, we need to:
    Email the customer the RTS email below, if they couldn't be reached by phone
    Add 'Return to Sender' attribute in Attributes
    Add CSI detailing email/phone call details, and what material has been RTS (tickets, marketing material etc)
"
Procedures,Instructions for Mail Merge/Brochure Request,"See https://app.asana.com/0/1204851846342248/1207283724559021/f task in Daily Workspace and consult RD

Download the Brochure Request - Season 202X.csv file that has come through to the Box Office inbox. Usually generates in the early hours of Wednesday Morning.

Download it somewhere you'll find it (i.e desktop)

Open the https://melbourneso.sharepoint.com/:w:/s/MarketingSales2/EarCvKQbCdRNlvmXpbJuN0kBqOnQCK_MunDG_XX5zmLiAA?e=pxWeyu - needs to be open in the App to perform the mail merge
    You have to Open in Desktop App
    Go to Mailings → Start Mail Merge → Step-by-step Mail Merge Wizard 
    Step 1: Select Document Type: Letters
    Step 2: Select starting document: Use current document
    Step 3: Select Recipients: Use an Existing List → Browse
        Select the CSV file you downloaded
    Preview Results - << >> Click through and adjust as necessary
    Finish and Merge
        The last page is always blank
        Set Pages 1 to (Total minus 1)
            ie. If there are 10 pages select Pages 1 - 9 (because page 10 will be blank)
    Print to C60 Marketing Printer

When packing the Sub Brochures: 
Print new 2025 Subscriber forms https://melbourneso.sharepoint.com/:b:/s/MarketingSales2/Ec-VGqPJN-tFnUBOTQTalQ0B8FLzwwuQVFGen9VDGMej5w?e=ek7EDa 
    Print on Both Sides - Flip on the Long Edge


"
Procedures,Merchandise Stock Take,"Merchandise stock is regularly counted, particularly before and after concerts where we sell various products at our BO counter.

This stocktake list is found in this https://melbourneso.sharepoint.com/sites/MarketingSales2, by clicking on the Sales folder and then to Merchandise and in the relevant year. "
Procedures,Deceased Constituents,"We may be notified through a number of channels that a constituents is deceased. Please choose the appropriate situation:
https://app.asana.com/0/0/1206699638038990/f
https://app.asana.com/0/0/1206699638038991/f"
,Deceased Constituent – No outstanding orders/tickets on account ,"If we are notified an account holder is deceased, but we have no outstanding finances with them:
    Log a CSI noting the contact under CSI > Constituent Maintenance > Deceased Notification recording who we were informed by/ how we were informed and date of notification. 
    Go to “Contact Details” > “Contact Permissions” change all to “No” (mail, email, telemarketing) 
     Go to ""Constituent Overview"" tab > ""Edit Constituent and Salutation"" > “Status” (below ""Sort name"" field) – change to “Deceased”  
    Close “Deceased Notification” CSI and any other open CSIs on account. 
        Go to Constituent > Inactivate and confirm inactivation 
    Done!

Example CSI:
27/02/24 MC: Received RTS mail noting John is deceased and requesting customer be removed from mailing list. Account updated. No further action."
,Deceased Constituent – Outstanding orders/tickets on account,"If we are notified an account holder is deceased, but we have outstanding finances with them:
    Log a CSI noting the contact under CSI > Constituent Maintenance > Deceased Notification recording who we were informed and what date. 
    Go to “Contact Details” > “Contact Permissions” change all to “No” (mail, email, telemarketing) 
     Go to ""Constituent Overview"" tab > ""Edit Constituent and Salutation"" > “Status” (below ""Sort name"" field) – change to “Deceased”  
    Check: 
        If a family member or additional ticketholder still plans to attend the remaining booked concerts. 
        If a refund for outstanding tickets/orders has been requested. 
    Note any of the above in “Deceased Notification” CSI – and leave CSI open. 
    Notify Supervisor/Manager – for refund, may need enact Deceased Estate Policy  

Example CSI:
27/02/24 MC: Received call from John's daughter (Jane) noting customer is deceased. Jane is deciding if she wishes to retain/take over John's and requesting customer be removed from mailing list. Account updated. No further action."
,Deceased Estate Policy,"SCOPE:  
The scope of this policy is to establish a clear and efficient process for handling outstanding monies with the MSO when the customer is deceased. The policy aims to provide best practice advice to ensure that the assets of the deceased's estate are appropriately managed and disbursed to authorised representatives.  
  
POLICY:  
    The MSO shall require a valid Grant of Representation as proof of authority for anyone contacting the organization on behalf of the deceased customer's estate. The Grant of Representation may come in various forms, including Rebate, Letters of Administration with the Will annexed, Letters of Administration, and Limited Grants.  
    In cases where the refund is to be paid to a Trust account, the MSO shall require appropriate documentation to confirm the validity of the Trust and the authority of the representative to act on behalf of the Trust.  
    The MSO shall maintain open and transparent communication with the authorised representatives of the deceased customer's estate.  
    The MSO shall maintain accurate and comprehensive records of all communications and transactions related to deceased customers' outstanding monies.  
    These records should include details of the Grant of Representation, Trust account documentation (if applicable), verification process, and any other relevant information.  
    The MSO staff involved in handling cases related to deceased customers should be trained to approach these matters with sensitivity and empathy.  
    The MSO shall ensure that all aspects of this policy comply with relevant legal and regulatory requirements related to deceased customers' estates and assets.  
 "
Procedures,Accessibility Special Requests email report,"Accessability Special Requests report comes through from ramp@krios.com email daily.

This report lists all customers who've purchased online and ticked the 'I have access requirements' box on the website.

We work down the list, assessing each order and contacting each customer to verify their access needs (and modify if necessary).

Once we've addressed an access need, we can remove the 'Spec Req' tag from their order.
Ctrl+C Copy the order number and use the Delete Special Request Report  in Tessitura to delete the request from the order (see image below).

(Probably best to star the report, as you'll be using it often)


https://app.asana.com/app/asana/-/get_asset?asset_id=1206674041663829



#accessibility #report #procedure"
Procedures,HowScan Procedure,"HowScan is an app used to scan tickets during Iwaki based performances, where there is not a separate Box Office ticketing the event. There are two mobile phones (Google Pixels) included in the briefcase, which has the HowScan app downloaded. 

The full HowScan scanning procedure is available https://melbourneso-my.sharepoint.com/:w:/g/personal/harveys_mso_com_au/EVX6VnNplJRKsO3rovWSBX8BXUoqlAwq9NmQXX0C0ra6sg?e=ceeNKC 

Please be sure to remember to move between performances when ticketing for multiple events on the same day, such as Jams for Juniors. 
Please note that there is a current known issue where HowScan will scan e-tickets, either printed or on the phone, but will not scan tickets printed by the boca. For this reason it's good to also have a seating book printed and on hand. "
Procedures,School Bookings procedure,"https://melbourneso.sharepoint.com/:x:/s/MarketingSales2/ES6YAJ_g3qBOhyZAHmLL4NgBBzquWGwU9e8lcrvgK_FjCA?e=vliQrh

This spreadsheet is shared with the schools program person - tbc] to track the subsidy program.
    Teachers are highly encouraged to make school booking requests via booking request form to ensure accurate and correct school and teacher information.
    If teachers are unable to submit a request via form for any reason (e.g. web issues), you may process the booking over the phone/email; however, please add the request and all relevant info to the tracker
    Marta will extract the data from the website back-end and enter into the tracker every Monday.

https://www.mso.com.au/learning/schools-and-teachers/book-a-school-experience-2025

https://www.mso.com.au/learning/schools-and-teachers/geelong-schools-discount


"
,Procedure,"Due to confusion with payment deadlines for schools attending multiple performances in previous years, school bookings will now be 1 order per concert date. This means that there may be multiple rows in the tracker for a booking request if the school is booking for multiple performances.

Procedure will also vary depending on the type of school booking/performance (see 1-4 below)"
,Constituent Info,"Constituent Information

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983081684083


    Owner
        Search the name of school on Tessi. Make sure the addresses match as some schools have different campuses and are managed separately
    Initiator
        Based on columns T-X in the tracker (excursion leader)
        If column X is Yes, add the Teachers’ Lounge constituency on their account
        If the teacher is not in the dropdown, add the affiliation to the school
    Alt Address
        Change email address to initiator’s email address
    Notes
        This shows up in the reports sent to the venues, so please add a short note if there is anything worth noting with the FOH
"
,1. School concerts & open rehearsals,"https://www.mso.com.au/learning/schools-and-teachers#2025-schools-concerts-years-prep-6 
Performances specifically for school groups. These are unticketed. Teachers will just need to present themselves to an ACM usher, who will then usher the group to the best available seats in their allocated sections
 
Delivery method: School Order
    Create a line item for each price type.
        This is to ensure the invoice reflects the correct prices & numbers

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983081684088


2. Seat the order.
        Fill stalls first, then circle and balcony.
        Check for access requirements in column AM and add the relevant holds if required. Seating info will not be in the invoice, so groups can be moved around the hall to accommodate other schools’ access needs
        These performances are Section GA (similar to relaxed performances). The list given to ACM Front of House does not include seat numbers unless needed
3. Send Acknowledgements in the following order:
        Schools Booking Reservation*
        Schools Unpaid Invoice
 
*Schools Booking Reservation is only required for the first point of contact to confirm the school booking. For subsequent changes to bookings, only the Schools Unpaid Invoice needs to be sent. Please see sample in the box office inbox for reference."
,2. Meet the Music concerts,"https://www.mso.com.au/learning/schools-and-teachers#2025-meet-the-music-series 
MSO concerts with a small allocation of tickets for school groups at the $9 schools rate. These are ticketed; e-tickets are sent 2 business days before the concert

Delivery method: E-tickets
    Create a line item for each price type.
        This is to ensure the invoice reflects the correct prices & numbers

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313974


2. Seat order anywhere, then unseat. When faced with the below pop-up after going back to order details, click ‘No’.

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313976


        School orders are seated 1 week before the concert. This is to work around the price reserve limitation depending on sales for each concert i.e. schools can be seated in Premium seats where available.
                       
3. Send Acknowledgements in the following order:
        Schools Booking Reservation*
        Schools Unpaid Invoice


*Schools Booking Reservation is only required for the first point of contact to confirm the school booking. For subsequent changes to bookings, only the Schools Unpaid Invoice needs to be sent. Please see sample in the box office inbox for reference."
,3. Geelong concerts,"https://www.mso.com.au/learning/schools-and-teachers/geelong-schools-discount 
MSO Geelong concerts B-C reserve for $30, with additional 10% discount for 10+ tickets. These are ticketed; Geelong Arts Centre sends the tickets 72 hrs before the concert
 
List of requests can be found in the 2025 Geelong tab of the tracker
 
Delivery method: E-tickets
    Create a line item for each price type.
        This is to ensure the invoice reflects the correct prices & numbers

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313978


2. Seat the order.
        Offer is available only in B – C reserve. If avails are low, please ask MA to request more from GAC
        Group discounts are applied automatically
 
3. Send Acknowledgements in the following order:
        Schools Booking Reservation*
        Schools Unpaid Invoice

*Schools Booking Reservation is only required for the first point of contact to confirm the school booking. For subsequent changes to bookings, only the Schools Unpaid Invoice needs to be sent. Please see sample in the box office inbox for reference."
,4. General MSO concerts,"General MSO concerts 
Any other MSO concert not included in the above categories.
 Treated like a standard group booking, which includes the $7 transaction fee i.e. payments are due 2 weeks after order date, unless with approved extension
 
Usual discounts for these concerts:
    Child tickets for the students where available; concession if not
    If total order has 10+ tickets, adults can get the group discount
 
 
    Create a line item for each price type, then a line item for each price reserve for non-child tickets.
        This is to ensure the invoice reflects the correct prices & numbers

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313980

 
2. Seat the order as per standard procedure
3. Send Acknowledgement: Unpaid Tax Invoice**
**Important: do not use the schools one for these bookings as the payment deadline & fees are different"
,Create CSIs,"Unpaid Invoice Due 

One CSI for all orders. List order numbers and concert dates at the top, and use the first performance in the performance/package parameter.

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313989


After the list, note that invoices were sent and any changes to the booking.

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313987


Once an order is paid, add “Paid” next to the order number, then change the performance/package to the next unpaid concert.


Access Requirements (if applicable)

Please also note in the order notes so it shows in the general report to ACM

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313991


"
,Changes to bookings,
,Updating numbers,"In general, numbers can be changed through the Adjust button in the order window. It will need to be done per line item and is automatically seated if the “Seat All Unseated” checkbox is ticked. This is optional as you can just keep doing what you usually do when updating orders.

https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313997



https://app.asana.com/app/asana/-/get_asset?asset_id=1208983084313999



However, please make sure that the adjustments are as follows:
    Schools concert/Schools open rehearsals
        Additional tix can be anywhere as long as it’s in the same section (stalls/circle/balcony) as the rest of the schools.
        If avails cannot accommodate the whole school in one section, contact the teacher to see if the school can be split into multiple sections
    Meet the Music
        Order still needs to be unseated in the map until seating is required
    Geelong concerts & other MSO concerts
        Ensure additional seats are next/close to the rest of the group
 

What to do after updating the order

    Update the Unpaid Invoice Due CSI
        E.g. 12/12/2024 (MA): updated invoice for [perf date] sent
    School bookings tracker
        Enter updated numbers into columns AJ & AK
"
,Cancelling bookings,"What to update after deleting the line items in the order:
     Unpaid Invoice Due CSI
        Add CXL beside the order number/performance
        If it’s the only order for the school, close CSI
        If there are other orders that are still active, change the performance/package to the next concert
    School bookings tracker
        Change value of column A to CXL
"
,Payments,
,Unpaid Schools Follow-up,"There will be 4 rounds of follow up for unpaid schools, starting 8 weeks before the performance. This is to give the schools enough time to confirm or cancel their booking and make space for the wait list. 

https://app.asana.com/0/1200904218504797/1208059786967692/f have been created for 2025. "
,1st round – 8 weeks before the concert,"List: all unpaid school orders
Objective: to get schools to confirm or cancel their bookings
Subject: Your MSO School Booking | [Title] - [Date]
To: [blank]
From: Box Office
BCC: excursion leader
 
Email template:
Good afternoon,
 
We are checking in regarding your booking to [Title] on [date/time]. At your earliest convenience, please confirm your school’s attendance by responding to this email.
 
As you can appreciate, our Schools programs are in high demand, and other schools are on a wait list for this performance. If you are making any changes to your booking, we kindly ask you to inform us as soon as possible to allow these schools enough time to organise their excursions.
 
Thank you for your consideration. If you have any questions, please don’t hesitate to reach out.
 
Yours in music,
MSO Box Office"
,2nd round – 5 weeks before the concert,"List: remaining unpaid school orders; exclude those who made special requests or who have sent a remittance
Objective: to get schools to pay or cancel their bookings
Subject: Payment Reminder | [Title] - [Date]
To: [blank]
From: Box Office
BCC: excursion leader
 
Good afternoon,
 
This is a reminder that payment for your booking is due two weeks prior to the event. If you need the invoice resent or have already made the payment, please provide a copy of the remittance for our Accounts team to confirm.
 
Please be aware that your booking may be cancelled if payment is not received by the deadline.
 
Yours in music,
MSO Box Office"
,3rd round - 2 weeks before the concert,"List: remaining unpaid school orders; exclude those who made special requests or who have sent a remittance
Objective: to get schools to pay or cancel their bookings
Subject: Final Payment Reminder | [Title] - [Date]
To: [blank]
From: Box Office
BCC: teachers & school admin, if available
 
Good afternoon,
 
This is your final reminder that payment for your booking is due before the event. If you need the invoice resent or have already made the payment, please provide a copy of the remittance to assist our Accounts team in confirming the funds.
 
Please note that your booking may be cancelled if payment is not received by the event date.
 
Yours in music,
MSO Box Office"
,Final round – 1 week before the concert,"List: remaining unpaid school orders; exclude those who made special requests or who have sent a remittance

Last call to follow up payment. Deadline for payment would be 1pm business day before the concert. Most teachers (initiators) have mobile numbers on their account"
,Processing Payment,"Payment information can be found on the invoice.

After processing the payment, send the Schools Payment Confirmation acknowledgement and tick order as paid in the school bookings tracker.

    Credit Card: can be processed with BOAs as per standard transaction
    Direct Funds Transfer: can only be processed by TL, CE Manager, and Ticketing & CE Coordinator
        For TL: use the Box Office Coordinator user group
        There will be a Teams chat created for BO & Finance, but payments will also be added in the https://melbourneso-my.sharepoint.com/:x:/g/personal/chandrae_mso_com_au/EW4Aohy2qjBMuDHfCfsE7q0BQ7FHv_olYTef0Ma8D1eN7Q?e=i7rdsE
        Once finance confirms payment, process the payment in Tessi through the NAB Direct Deposit – Ticketing payment method
            In the note box, add the date we received the payment
            After processing, add the date processed, order number, and school const. ID in the education bank deposits spreadsheet, columns K-M
"
,Waitlists,"Processing waitlist orders 

Prioritise the schools in order of Date Created (column H), then by number of tickets required.
 
Send the email below to the teachers in the wait list - don't forget to change the [5 business days from now] to an actual date! Make sure that there are enough avails to accommodate the number of tickets required for all the schools you are contacting. After sending the email, update the BO notes in the tracker with the deadline stated in the email.

Waitlist Email Template 

Subject: Waitlist Update | [Title] - [Date]
To: Teacher
From: Box Office
BCC: 
 
Good afternoon,

We’re pleased to inform you that seats have become available for [title] on [date] at [time].

We have reserved seats for [XX] students and [XX] teachers and will send a booking confirmation and invoice following this email.

Kindly confirm by 5pm [5 business days from now]. If we do not receive a response by then, we may need to offer the available seats to another group. 

Should you have any questions or need further assistance, please don’t hesitate to reach out.
 
Yours in music,
MSO Box Office"
,School Excursion Documents,"https://melbourneso.sharepoint.com/:f:/s/MarketingSales2/Ep2WJGsth9dOhNsdDJoSTXIBk8Ex2XewS2jgSlKqRaY3hw?e=RvmchP

Send both MSO & venue documents. Please make sure you send the file itself and not the link to the Sharepoint!"
Procedures,Batch Printing Tickets,"Batch printing for postage is done daily - check Asana Task List.

Batch printing for Venue Collect will be done before consignment - either 3pm day of concert, or 3pm of last business day before concert for weekend events. 

#printing #venue-collect #batch-print"
,Batch Printing - Standard Postage,"Batch Print for Postage 

IMPORTANT: Select the printer you wish to print to as your default printer under Preferences. Otherwise, you will need to select the printer for each order. 

    In the order window, click the ‘Order #’ chiclet to open the order search window 
    Search by performance date, search from ten days after the current date until the end of the current year.  
    The filters that should be applied are:  
    Delivery: Standard Post 
    Paid: Yes  
    Seated: Yes 
    Printed: No 
    Select ‘search’ in the bottom right-hand corner.  
    Click ‘Owner Name’ to sort orders into alphabetical order. 
    Check the order notes for any notes that say ‘do not print’ or “print with [another order]” and remove those.  
    Select all orders and press print. 

----------------------------------------

IMPORTANT: To the right of the Print button at the bottom of the screen, select ‘Continuous’. Otherwise, you will have to manually start each order.  "
,Batch Printing - Venue Collection,"Venue Collection 

IMPORTANT: Select the printer you wish to print to as your default printer under Preferences. Otherwise, you will need to select the printer for each order. 

    In the order window, click the ‘Order #’ chiclet to open the order search window 
    Search by ‘Product’. Select the ‘season’ (for example, 2020 Core, 2020 Special etc) and then the ‘Perf Code’. Double check that the perf code includes the correct Date and Time of the performance you would like to print for. 
    Filter tickets by  
    Delivery method: select Collect @ Venue, MUSO/Student Collection 
    Paid: Yes 
    Seat: Yes 
    Printed: No 
    Click ‘Search’ on the bottom right-hand corner. 
    Click on ‘order notes’ to sort orders and bring anything with a note to the top. Highlight and ‘remove’ (bottom right-hand corner) anything with notes that looks like it may need further investigation. 
    Click on ‘Perf date’ to sort subscriptions to the top. These should have a blank perf date column. Remove these to be printed after the main print. 
    Click ‘Owner Name’ to sort orders into alphabetical order. 

----------------------------------------

IMPORTANT: Steps 8, 9, and 10 are VERY IMPORTANT and will save you from printing each order individually "
Procedures,Relocates Process,"Relocations

In some instances, due to operational requirements, we can be required to relocate customers. Common relocates include:
    Balcony Relocation
    Choir Stalls Relocation
    Cancelled Concert Relocations

----------------------------------------

For All Relocates:

    Do not remove original seats until relocate is confirmed
    Check for Plan on Customer account
    Update plan if necessary
    Check for Relocation CSI/Create Relocation CSI

#balcony #choir-stalls #cancelled-performances #cancelled-concerts #relocates"
Procedures,Releasing Subscription,"Once our Subscription period is over, we'll release any outstanding held subscriptions. These will usually be sent through as a plan in your portfolio in Tessitura. If you're unsure whether a subscription should be released, please ask a TL or Rowan. To release the subscription, we'll:

    Open the subscription order
    Select all performances in sub line items
    Select 'delete' in the bottom of the order
    Note 'released sub' in the order notes
    CSI that the sub was released

#subscription #release #lapse "
Procedures,Open CSI Report,"We receive a daily Open CSI Report email in the inbox from 'tessitura reports'. 

This email will contain an excel spreadsheet with customers data, including their name, customer number, and details of any open CSI's we have in Tessitura on the date the report was pulled.

To process this report, we'll open the customers profile in Tessitura, and read the CSI to determine if it can be closed. 

    Some CSI's should remain open. An example of this is a Handle With Care CSI.
    Some CSI's will require follow up work, Where applicable, we can do this now and update the CSI. 
    Some CSI's we can immediately close. An example of this is when an exchange has been processed, but the CSI hasn't been closed. 

"
Procedures,Access Report,"We receive a daily Accessibility Special Requests email in the inbox from 'tessitura reports'. 

This email will contain an excel spreadsheet with performance and customer details. These customers have checked a box when purchasing online that 'one or more attendees have accessibility requirements'.

To process this report, we'll email the below access email to the customer and CSI.

    If the customer replies with access needs, we can check that their current seats are suitable. If not, we can offer them a free seat change for their party. We'll then write an Access CSI. If the customer or guest is in a wheelchair, please be sure to note if they're remaining in the wheelchair or transferring to a seat, and place this in the Access CSI, as we'll need to communicate this to the venue. This ensures we have the wheelchair seat in or out as needed.
    If the customer replies that they ticked the box by accident, no problem! We'll update and close the CSI.



"
Procedures,Manually Processing Instalment Payments,"    Go to the ""Constituent Search"" and find customer account
    Go to ""Constituents"" from top menu bar and select ""View Invoices"" to open outstanding invoices window
    Tick ""Pay"" box next to outstanding invoice line item
    Click ""Payments"" down bottom of window
    This will open Moneybags window and you can manually add amount to be paid and add in payment method.
"
Procedures,Hold Until Report,"We receive a daily Hold Until Report email in the inbox from 'tessitura reports'. 

This email will contain an excel spreadsheet with customers data, from customers who currently have orders unpaid and 'on hold' with us. Customers should have a confirmed date in the CSI, after which we specify that we'll release these seats back to general sale.

To process this report, we'll open the customers profile in Tessitura, and read the CSI to determine the date we confirmed the customer needed to be in contact by. 
    If the date is a few days to come, we can leave as is.
    If the date is today, we'll call and/or email the customer to remind them that we'll release the order at 5pm. We'll CSI, but leave the order as is until after 5pm.
    If the date has passed, we'll release the order and update the CSI.
"
Policies,Instalment Plan Grace Period - Purchasing in July,"Instalment Plan Grace Period -

If purchased in July,
Payments aren't being deducted until September
They have to pay the $10 instalment plan fee during the transaction.
First payment will be deducted overnight
Second payment will be deducted 6th September
Third payment will be deducted 4th October
Fourth payment will be deducted 1st November"
Policies,Concessions,"What constitutes an eligible concession with the MSO differs depending on the venue, performance, and kind of concession held:

    Australian Commonwealth-issued concession cards are means-tested concession cards, and include the Healthcare Card and Pension Card. We offer a concession price for all venues and performances.

    Companion Cards are a type of concession for people with disability, allowing them to bring a companion to assist them in attending the performance. This concession must be accompanied by a paid ticket. We offer a complimentary ticket under price type 'C Card' for all venues and performances. 

    Seniors Cards are a non-means tested concession and refer to state issued seniors card. We offer a concession price for Melbourne Town Hall performances and Chamber series performances only. 

    Student and Child Price concessions are a different form of concession, relevant to students with a student membership, and children and young adults under 18 respectively.  More information can be found at the relevant manual sections. If student price and/or child price tickets aren't available, they are eligible for the concession price. 

Concession Card details must be placed on file with us prior to ticket purchase. We typically add concession details as an attribute, including type of concession, concession number, and expiry, where relevant. Once a concession has been added on file, we won't need to ask for it again until it expires. 

#process #companion #student #under18 #veteran #senior #pension #veteran #warwidow "
Policies,Group Bookings,"For group bookings of 10+ people, we offer a group booking discount of 15%. 

Group discounts are available for both subscription series and single ticket purchases. For subscriptions, you will pay one reserve lower than your ticket. 

We typically recommend organisers of group bookings email in with their details, so we can build the order without keeping them on the phone. For group bookings, we can hold the order while the organiser confirms numbers and payment. 

#group-booking #group #discounts"
Policies,Phone safety protocol,"Should we end up in a situation where multiple aggressive / unsafe calls are being received, the following protocol will be enacted:

    Phones will be turned off and calls will be call back only 
    The voicemails will be reviewed and triaged by Supervisor/Manager/HoD/DoD
    All information to be logged in Tessi (where possible)
    Social media and email responses will be monitored before phones are reopened

This procedure would be enacted from a recommendation as per the below:
    On reports of aggressive calls by attendant or TL, TL/Supervisor/Manager will notify their manager
    They are to notify either Director of Department or COO or CFO for approval to close. Information to be provided:
        Number of calls
        Nature of complaints
    Action taken depending on outcome of above
"
Policies,High risk situations ,"In the case where high risk box office situations are encountered, the following steps are to be taken:

    Team to be updated as per their nominated preferred method 
        At time of writing, survey results to be gathered, so updates will go to personal BO emails (to those rostered on on the affected day(s))
    Manager to brief Team Leader who is next rostered on
    Manager and Team Leaders to brief attendants and remind them of Difficult Customer (Calls) and Phone Safety protocols
        Empower attendants to end calls if needed and stay off phones
    Safety and wellbeing reminder to be provided
        Taking breaks - as much as required
    Updates to be provided as received, including the steps moving forward
        Refer to Difficult Customers notes below

https://app.asana.com/0/1206369590338123/1208300137354782/f"
Email Templates,Access Seating Request Template,"Hi [customer name],
 
Order: #[insert order number]

 We are writing to you regarding your tickets for Jazz at Lincoln Center on Sunday XXth August, 2:00pm.
 
You are receiving this email as you indicated that a member of your party has accessibility requirements when purchasing tickets:
[select correct access requirements submitted by customer]
    Wheelchair space
    Transfer to a seat from a walker/wheelchair
    Limited steps
    Vision Impairment
    Assistance Animal
    Other: [copy detail provided by customer in CSI note]
We are keen to ensure that you have an easy and enjoyable experience with us.

OPTION 1 (seating meets requirements): I have reviewed your order and I am confident that your current seating (Section | Row XX | Seats XX) will meet the requirements you have noted. We will ensure these requirements are shared with the venue's Front of House team, so they are able to assist in a safe and accessible visit.

OR

OPTION 2 (Seating does not seem to meet requirements): I have reviewed your order and I am concerned that your current seating (Section | Row XX | Seats XX) may not adequately meet the requirements you have noted. [Add in explanation of limitation e.g. ""You have noted a walker transfer and limited steps, however, these seats in the Circle will require 15 steps to access"".] For your consideration, I have reserved alternate seating that may be more suitable:

Order: #[exchange order number]
[Concert Title]
[Day Date, Time]
[Seating Area | Price Reserve | Row [x] | Seats [x-xx]

These seats will be held, pending finalisation, until 5pm [3 business days -> Day Date Year]. After this time, these tickets will be released to general sale.

If you would like to go over any details of your order, find out more about our access options, or have any other questions, please don’t hesitate to reach out via phone on (03) 9929 9600 between 10am – 5pm (M-F). Alternatively, you can reply to this email, and we'll do whatever we can to assist you.
 
If these access requirements were noted in error or the seats are suitable as they are, please let us know and there will be no further action required.

Yours in music,

[Your name]"
